,food,Caloric Value,Carbohydrates,Protein,Fat,Sugars,Fiber
4,Raw mango drink (Aam panna),35.91822052001953,9.047467231750488,0.1570344567298889,0.0263407826423645,7.490847110748291,0.6120251417160034
7,Lemonade,20.798982620239254,5.478568077087402,0.0348174683749675,0.010450966656208,5.471953868865967,0.0168647095561027
8,Lem-o-gin,21.517364501953125,5.551969051361084,0.0807568356394767,0.0281009096652269,5.384456634521484,0.1291941106319427
10,Coco pine cooler,32.74876022338867,5.717686176300049,0.5550532341003418,0.9999814629554749,5.52344274520874,0.2572466433048248
11,Summer cooler,22.428831100463867,5.431630611419678,0.3739036917686462,0.0354000739753246,5.212235927581787,0.1967161297798156
12,Hot cocoa,90.0999984741211,9.234031677246094,3.36282730102539,4.562827110290527,9.006282806396484,0.0
18,Egg nog,97.14144897460938,8.145041465759277,4.776309490203857,5.11044454574585,8.061746597290039,0.0197528842836618
19,Sweet Lassi (Meethi lassi),35.66101837158203,6.508474826812744,1.2881355285644531,0.6779661178588867,6.508474826812744,0.0
21,Cheese and chilli sandwich ,218.1146697998047,27.40143394470215,6.795605182647705,9.78044891357422,2.3799102306365967,2.078744411468506
22,Egg sandwich (Ande ka sandwich),285.95709228515625,29.15723991394043,8.694679260253906,15.797734260559082,1.863645315170288,1.877635478973389
23,Cucumber sandwich (Kheere ka sandwich),188.597900390625,25.76510238647461,4.798436164855957,7.997695446014404,1.6432921886444092,2.449218273162842
24,Cheese and pineapple sandwich (Cheese aur ananas ka sandwich),257.7143249511719,29.101882934570312,8.196501731872559,12.797489166259766,4.101883411407471,2.3298654556274414
25,Cheese and tomato sandwich (Cheese aur tamatar ke sandwich),243.3199157714844,26.92240333557129,7.918540477752685,12.274420738220217,2.8468668460845947,1.9749356508255005
26,Chicken sandwich,253.27267456054688,25.377338409423828,13.124119758605955,11.748669624328612,1.5979398488998413,1.6358798742294312
27,Peanut and tomato sandwich (Moongfali aur tamatar ka sandwich),291.4269104003906,28.544937133789062,9.528888702392578,16.13761329650879,2.816131591796875,4.029465198516846
28,Rainbow sandwich,272.7514038085937,34.263946533203125,7.746617794036865,12.539576530456545,4.045274257659912,2.10280179977417
29,Club sandwich ,235.3241729736328,18.508420944213867,7.3101277351379395,15.121536254882812,2.013257503509521,1.8081934452056885
30,Vegetarian club sandwich,198.32925415039065,19.684192657470703,5.451312065124512,11.32917022705078,2.0804224014282227,2.0566515922546387
31,Pin wheel sandwich,311.5205993652344,14.004125595092772,8.766905784606934,24.934709548950195,1.4543497562408447,0.928968608379364
32,Carrot apple sandwich (Gajar aur seb ka sandwich),214.11184692382807,29.04496192932129,5.297377586364746,9.123984336853027,5.295166969299316,3.656041145324707
35,Egg and tomato sandwich (Ande aur tamatar ka sandwich),222.1063690185547,25.903024673461918,7.655546188354492,10.509202003479004,2.0916805267333984,1.7674790620803833
36,Sweet open sandwich,244.2458038330078,39.24372863769531,4.985423564910889,8.153898239135742,12.230847358703612,2.3566102981567383
37,Mushroom and cheese sandwich (toasted),227.4191131591797,21.012937545776367,7.785544395446777,13.008052825927734,2.1066665649414062,2.2843563556671143
38,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),224.5795135498047,21.415576934814453,6.821847915649414,12.951947212219238,2.674323320388794,1.779405951499939
39,Pea potato sandwich (toasted) (Matar aloo ka sandwich),164.90065002441406,25.16836166381836,4.604915618896484,5.42716121673584,1.332777500152588,2.885905504226685
40,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),249.55572509765625,24.052186965942383,12.400134086608888,11.975685119628906,6.396068572998047,2.11628532409668
41,Chicken sandwich (toasted),167.36798095703125,18.81935691833496,12.081052780151367,5.315614223480225,2.1342689990997314,1.6419882774353027
42,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),171.77516174316406,20.25550651550293,11.055025100708008,5.611410140991211,1.9430606365203855,2.453407526016236
43,Classic club sandwich,200.83099365234372,18.491588592529297,6.73637580871582,11.56259536743164,1.8572258949279783,1.6238478422164917
44,Sesame toast,495.1863403320313,11.146966934204102,1.8990991115570068,49.378177642822266,1.4626426696777344,1.318979024887085
45,Cracked wheat porridge (Meetha daliya),81.56513977050781,8.870967864990234,2.6426796913146973,4.080645084381104,5.117866039276123,0.6203473806381226
46,Semolina porridge (Suji/Rava daliya),100.89435577392578,12.38705062866211,3.750359535217285,4.082014083862305,7.537769794464111,0.6992805600166321
47,Oatmeal Porridge,72.85364532470703,8.766331672668457,2.595477342605591,3.2211055755615234,5.197236061096191,0.3919597864151001
48,Cornflakes with milk,117.3266143798828,14.948201179504396,3.59136700630188,5.119424343109131,9.973381042480469,0.7769784331321716
49,Rice flakes (Chiwda/Aval),112.4402847290039,15.56870460510254,3.617266178131104,3.990647315979004,7.279856204986572,0.3733812868595123
50,Wheat flakes,112.4402847290039,15.56870460510254,3.617266178131104,3.990647315979004,7.279856204986572,0.3733812868595123
51,Murmura (Puffed rice),113.31719207763672,15.66906452178955,3.620503425598145,4.042446136474609,7.312230110168457,0.2762590050697326
52,Puffed wheat (Murmure/Moori),113.31719207763672,15.66906452178955,3.620503425598145,4.042446136474609,7.312230110168457,0.2762590050697326
53,Boiled egg (Ubla anda),45.3546028137207,0.1199337691068649,4.430860996246338,3.0388741493225098,0.001059602596797,0.1098013296723365
55,Poached egg,123.86688232421876,0.3662499785423279,11.97607135772705,8.194107055664062,0.0457142852246761,0.2960714399814605
56,Scrambled egg (Ande ki bhurji),155.97100830078125,1.3515714406967163,10.290857315063477,12.212428092956545,1.0844285488128662,0.2368571460247039
57,Baked egg ,218.84698486328125,15.416930198669434,11.881781578063965,12.652177810668944,1.6649504899978638,1.02554452419281
58,Plain omelette/omlet,272.4109802246094,0.6448251605033875,9.664055824279783,25.74034881591797,0.5140559673309326,0.1159440577030181
59,Stuffed egg omelette/omlet,203.51486206054688,2.3019466400146484,8.602519035339355,17.774503707885742,1.5683587789535522,0.7503053545951843
60,Pancake,203.3556060791016,20.48965072631836,5.68212890625,10.816617012023926,3.3151979446411133,0.6528680920600891
61,Keema pancake,176.2749786376953,9.559337615966797,9.006999969482422,11.245588302612305,2.1966712474823,0.840624213218689
62,Vegetable pancake,125.17634582519533,12.23516845703125,3.865659475326538,6.573175430297852,2.08504056930542,2.477165937423706
63,Jam and fruit pancake,162.0184326171875,20.727575302124023,3.791611433029175,7.008038520812988,7.847491264343262,1.2086658477783203
64,Khoa and coconut pancake,271.980712890625,27.323190689086918,6.979613304138184,15.294413566589355,16.470800399780273,1.6516162157058716
68,Clear tomato soup (Tamatar ka soup),80.07408905029297,3.4506852626800537,4.793009281158447,12.224908828735352,1.4366905689239502,1.963787317276001
69,Lentil soup,31.16623878479004,3.944583177566528,9.653425216674805,11.678777694702148,1.0551661252975464,2.5739505290985107
70,Chicken consomme (Clear chicken soup),47.944820404052734,1.1854139566421509,11.471491813659668,12.01870346069336,0.5409916043281555,1.5683488845825195
76,Chicken sweet corn soup,28.32048225402832,1.632999062538147,14.47509765625,12.593029975891112,0.2650051712989807,0.4661633968353271
77,Minestrone soup,42.65936279296875,3.7148396968841553,9.303705215454102,11.087420463562012,1.014839768409729,1.9226291179656985
78,Egg drop soup,26.63651466369629,1.1007238626480105,12.929913520812988,13.516396522521973,0.604657769203186,0.8106687664985657
79,Chinese cabbage and meat ball soup,484.3054809570313,1.4290056228637695,5.210831642150879,56.57162094116211,0.3734292089939117,0.56608647108078
80,French onion soup,55.60973358154297,4.2752203941345215,11.40778636932373,14.39195728302002,1.502301812171936,1.0132992267608645
81,Hot and sour soup,31.513946533203125,1.7757666110992432,3.1162946224212646,1.312411904335022,0.6560335755348206,0.6012079119682312
82,Talaumein soup,35.62731170654297,4.171391487121582,10.122030258178713,12.784790992736816,0.7679230570793152,1.9394147396087649
83,Cold cucumber soup (Thanda kheere ka soup),48.02956771850586,4.580854415893555,2.9876434803009038,1.990923285484314,3.344915866851806,0.8775031566619873
84,Cold summer garden soup,49.18648147583008,2.645667791366577,8.571334838867188,14.081335067749023,0.4605211913585663,1.8566449880599976
85,Chapati/Roti,202.3111114501953,35.64999771118164,5.875,3.5611112117767334,1.0,6.3111114501953125
86,Plain parantha/paratha,298.30084228515625,30.69233512878418,5.055602073669434,16.858184814453125,0.8609350919723511,5.433456897735596
87,Potato parantha/paratha (Aloo ka parantha/paratha),205.0423889160156,23.920074462890625,3.697914361953736,10.220277786254885,1.15238356590271,4.17527961730957
88,Radish parantha/paratha (Mooli ka parantha/paratha),183.52423095703125,20.542415618896484,3.297506809234619,9.52780055999756,1.30684494972229,4.324216365814209
89,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),178.07040405273438,18.837081909179688,3.726067066192627,9.46512508392334,1.147685170173645,4.6809587478637695
